party,total_allocation,state_component,iplc_component,un_band,un_band_weight,WB Income Group,UN LDC,CBD Party,EU
Eritrea,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Low income,LDC,Party,Non-EU
Estonia,0,0,0,,1,High income,-,Party,EU Member
Eswatini,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Ethiopia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
European Union,0,0,0,,1,High income,-,Party,Non-EU
Fiji,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Finland,0,0,0,,1,High income,-,Party,EU Member
France,0,0,0,,1,High income,-,Party,EU Member
Gabon,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Gambia,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Low income,LDC,Party,Non-EU
Georgia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Germany,0,0,0,,1,High income,-,Party,EU Member
Ghana,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Greece,0,0,0,,1,High income,-,Party,EU Member
Grenada,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
Guatemala,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Guinea,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Guinea-Bissau,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Low income,LDC,Party,Non-EU
Guyana,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,High income,-,Party,Non-EU
Haiti,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Honduras,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Hungary,0,0,0,,1,High income,-,Party,EU Member
Iceland,0,0,0,,1,High income,-,Party,Non-EU
India,4.262574595055414,2.131287297527707,2.131287297527707,Band 5: 1.0% - 10.0%,0.75,Lower middle income,-,Party,Non-EU
Indonesia,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Iran (Islamic Republic of),5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Iraq,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Ireland,0,0,0,,1,High income,-,Party,EU Member
Israel,0,0,0,,1,High income,-,Party,Non-EU
Italy,0,0,0,,1,High income,-,Party,EU Member
Jamaica,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Japan,0,0,0,,1,High income,-,Party,Non-EU
Jordan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Kazakhstan,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Kenya,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Kiribati,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,LDC,Party,Non-EU
Kuwait,0,0,0,,1,High income,-,Party,Non-EU
Kyrgyzstan,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Lao People's Democratic Republic,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Latvia,0,0,0,,1,High income,-,Party,EU Member
Lebanon,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Lesotho,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,LDC,Party,Non-EU
Liberia,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Low income,LDC,Party,Non-EU
Libya,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Liechtenstein,0,0,0,,1,High income,-,Party,Non-EU
Lithuania,0,0,0,,1,High income,-,Party,EU Member
Luxembourg,0,0,0,,1,High income,-,Party,EU Member
Madagascar,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Malawi,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Malaysia,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Maldives,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Mali,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Malta,0,0,0,,1,High income,-,Party,EU Member
Marshall Islands,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
Mauritania,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Mauritius,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Mexico,4.262574595055414,2.131287297527707,2.131287297527707,Band 5: 1.0% - 10.0%,0.75,Upper middle income,-,Party,Non-EU
Micronesia (Federated States of),8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,-,Party,Non-EU
Monaco,0,0,0,,1,High income,-,Party,Non-EU
Mongolia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Montenegro,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Morocco,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Mozambique,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Myanmar,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Namibia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Nauru,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,High income,-,Party,Non-EU
Nepal,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Netherlands (Kingdom of the),0,0,0,,1,High income,-,Party,Non-EU
New Zealand,0,0,0,,1,High income,-,Party,Non-EU
Nicaragua,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Niger,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Nigeria,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Lower middle income,-,Party,Non-EU
Niue,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,High income,-,Party,Non-EU
North Macedonia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Norway,0,0,0,,1,High income,-,Party,Non-EU
Oman,0,0,0,,1,High income,-,Party,Non-EU
Pakistan,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Lower middle income,-,Party,Non-EU
Palau,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,High income,-,Party,Non-EU
Panama,0,0,0,,1,High income,-,Party,Non-EU
Papua New Guinea,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Paraguay,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Peru,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Philippines,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Lower middle income,-,Party,Non-EU
Poland,0,0,0,,1,High income,-,Party,EU Member
Portugal,0,0,0,,1,High income,-,Party,EU Member
Qatar,0,0,0,,1,High income,-,Party,Non-EU
Republic of Korea,0,0,0,,1,High income,-,Party,Non-EU
Republic of Moldova,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Romania,0,0,0,,1,High income,-,Party,EU Member
Russian Federation,0,0,0,,1,High income,-,Party,Non-EU
Rwanda,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Saint Kitts and Nevis,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,High income,-,Party,Non-EU
Saint Lucia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Saint Vincent and the Grenadines,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
Samoa,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
San Marino,0,0,0,,1,High income,-,Party,Non-EU
Sao Tome and Principe,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,-,Party,Non-EU
Saudi Arabia,0,0,0,,1,High income,-,Party,Non-EU
Senegal,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Serbia,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Seychelles,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,High income,-,Party,Non-EU
Sierra Leone,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Low income,LDC,Party,Non-EU
Singapore,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,High income,-,Party,Non-EU
Slovakia,0,0,0,,1,High income,-,Party,EU Member
Slovenia,0,0,0,,1,High income,-,Party,EU Member
Solomon Islands,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,LDC,Party,Non-EU
Somalia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
South Africa,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
South Sudan,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Spain,0,0,0,,1,High income,-,Party,EU Member
Sri Lanka,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
State of Palestine,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,-,Party,Non-EU
Sudan,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Suriname,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Sweden,0,0,0,,1,High income,-,Party,EU Member
Switzerland,0,0,0,,1,High income,-,Party,Non-EU
Syrian Arab Republic,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,-,Party,Non-EU
Tajikistan,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Thailand,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Timor-Leste,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,LDC,Party,Non-EU
Togo,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Tonga,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
Total,1000,500,500,,230.95000000000002,,,,
Trinidad and Tobago,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,High income,-,Party,Non-EU
Tunisia,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Türkiye,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Turkmenistan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Tuvalu,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,LDC,Party,Non-EU
Uganda,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Ukraine,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
United Arab Emirates,0,0,0,,1,High income,-,Party,Non-EU
United Kingdom of Great Britain and Northern Ireland,0,0,0,,1,High income,-,Party,Non-EU
United Republic of Tanzania,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
United States of America,0,0,0,,1,High income,-,Non-Party,Non-EU
Uruguay,0,0,0,,1,High income,-,Party,Non-EU
Uzbekistan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Vanuatu,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,-,Party,Non-EU
Venezuela (Bolivarian Republic of),6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Viet Nam,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Lower middle income,-,Party,Non-EU
Yemen,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Zambia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Zimbabwe,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
