party,total_allocation,state_component,iplc_component,WB Income Group,UN LDC,CBD Party,EU,un_band,un_band_weight
Myanmar,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Namibia,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Nepal,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Nicaragua,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Niger,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
North Macedonia,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Papua New Guinea,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Republic of Moldova,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Rwanda,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Saint Lucia,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Senegal,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Seychelles,7.388462631429383,3.6942313157146915,3.6942313157146915,High income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Somalia,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
South Sudan,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Sudan,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Suriname,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Syrian Arab Republic,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Tajikistan,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
