party,total_allocation,iusaf_share,tsac_share,sosac_share,component_iusaf_amt,component_tsac_amt,component_sosac_amt,is_sids,is_ldc,un_band
Lesotho,8.122785438249068,0.008525149190110827,0.00038813570576192553,0.0,8.1157921728474,0.006993265401667507,0.0,False,True,Band 1: <= 0.001%
Namibia,7.223327046261516,0.007388462631429384,0.010525304518996562,0.0,7.03368654980108,0.18964049646043615,0.0,False,False,Band 2: 0.001% - 0.01%
South Africa,5.419430573966358,0.005399261153736857,0.015508680609444473,0.0,5.140001709470019,0.27942886449633847,0.0,False,False,Band 4: 0.1% - 1.0%
Benin,7.059660219323215,0.007388462631429384,0.0014415738531526588,0.0,7.03368654980108,0.025973669522135312,0.0,False,True,Band 2: 0.001% - 0.01%
Burkina Faso,7.096708862511759,0.007388462631429384,0.003497823751530396,0.0,7.03368654980108,0.0630223127106795,0.0,False,True,Band 2: 0.001% - 0.01%
Cabo Verde,8.885951231260274,0.008525149190110827,5.152130745127009e-05,0.02564102564102564,8.1157921728474,0.0009282891821054036,0.7692307692307692,True,False,Band 1: <= 0.001%
Côte d’Ivoire,6.024830544598314,0.006251776072747941,0.004065453044541908,0.0,5.951580926754761,0.07324961784355292,0.0,False,False,Band 3: 0.01% - 0.1%
Gambia,8.118123261314622,0.008525149190110827,0.0001293785685873085,0.0,8.1157921728474,0.002331088467222502,0.0,False,True,Band 1: <= 0.001%
Ghana,6.003991949700663,0.006251776072747941,0.00290888279114388,0.0,5.951580926754761,0.05241102294590292,0.0,False,False,Band 3: 0.01% - 0.1%
Guinea,7.090286851991387,0.007388462631429384,0.0031413934657384826,0.0,7.03368654980108,0.05660030219030763,0.0,False,True,Band 2: 0.001% - 0.01%
Guinea-Bissau,8.891500235328987,0.008525149190110827,0.00035949855224062403,0.02564102564102564,8.1157921728474,0.006477293250819838,0.7692307692307692,True,True,Band 1: <= 0.001%
Liberia,8.13797897533385,0.008525149190110827,0.0012313976014159639,0.0,8.1157921728474,0.022186802486449744,0.0,False,True,Band 1: <= 0.001%
Mali,7.314750861739837,0.007388462631429384,0.01559945015855217,0.0,7.03368654980108,0.2810643119387574,0.0,False,True,Band 2: 0.001% - 0.01%
Mauritania,7.271102842604067,0.007388462631429384,0.013176925952859572,0.0,7.03368654980108,0.23741629280298743,0.0,False,True,Band 2: 0.001% - 0.01%
Niger,7.325464194211232,0.007388462631429384,0.016194054627425264,0.0,7.03368654980108,0.2917776444101525,0.0,False,True,Band 2: 0.001% - 0.01%
Nigeria,5.349792761178739,0.005399261153736857,0.011643687639551677,0.0,5.140001709470019,0.2097910517087192,0.0,False,False,Band 4: 0.1% - 1.0%
Senegal,7.078034816855857,0.007388462631429384,0.002461388914042935,0.0,7.03368654980108,0.0443482670547775,0.0,False,True,Band 2: 0.001% - 0.01%
Sierra Leone,8.132418454029626,0.008525149190110827,0.0009227811344497952,0.0,8.1157921728474,0.016626281182225318,0.0,False,True,Band 1: <= 0.001%
Togo,7.04621499858885,0.007388462631429384,0.0006953458839391017,0.0,7.03368654980108,0.012528448787769951,0.0,False,True,Band 2: 0.001% - 0.01%
Antigua and Barbuda,7.803018670704337,0.007388462631429384,5.625155155969935e-06,0.02564102564102564,7.03368654980108,0.00010135167248793487,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Barbados,7.803016367257236,0.007388462631429384,5.497310720606982e-06,0.02564102564102564,7.03368654980108,9.904822538593636e-05,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Cuba,5.933142259619534,0.005399261153736857,0.0013270252390674528,0.02564102564102564,5.140001709470019,0.02390978091874464,0.7692307692307692,True,False,Band 4: 0.1% - 1.0%
Dominica,8.885195700610819,0.008525149190110827,9.58833265222148e-06,0.02564102564102564,8.1157921728474,0.00017275853264988903,0.7692307692307692,True,False,Band 1: <= 0.001%
Dominican Republic,6.7319138549346365,0.006251776072747941,0.0006161848652512319,0.02564102564102564,5.951580926754761,0.011102158949106667,0.7692307692307692,True,False,Band 3: 0.01% - 0.1%
Grenada,8.885101259279637,0.008525149190110827,4.346710802340404e-06,0.02564102564102564,8.1157921728474,7.831720146794967e-05,0.7692307692307692,True,False,Band 1: <= 0.001%
Haiti,7.8092656192449565,0.007388462631429384,0.00035233926386029864,0.02564102564102564,7.03368654980108,0.006348300213107921,0.7692307692307692,True,True,Band 2: 0.001% - 0.01%
Jamaica,7.805411952243314,0.007388462631429384,0.00013845552349807817,0.02564102564102564,7.03368654980108,0.0024946332114643968,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Saint Kitts and Nevis,8.885082831702821,0.008525149190110827,3.32395531943678e-06,0.02564102564102564,8.1157921728474,5.9889624651961526e-05,0.7692307692307692,True,False,Band 1: <= 0.001%
